SALE_ID,ORDER_DATE,PRODUCT_ID,QUANTITY_SOLD,CUSTOMER_ID
PRD1001,01-08-2025,P023,332,CUST040
PRD1002,02-08-2025,P011,719,CUST039
PRD1003,02-08-2025,P022,115,CUST005
PRD1004,03-08-2025,P014,831,CUST006
PRD1005,03-08-2025,P009,325,CUST092
PRD1006,03-08-2025,P039,983,CUST015
PRD1007,04-08-2025,P008,109,CUST014
PRD1008,04-08-2025,P038,497,CUST098
PRD1009,04-08-2025,P002,654,CUST096
PRD1010,04-08-2025,P018,448,CUST031
PRD1011,04-08-2025,P021,732,CUST096
PRD1012,04-08-2025,P028,266,CUST018
PRD1013,05-08-2025,P019,243,CUST008
PRD1014,05-08-2025,P022,617,CUST015
PRD1015,05-08-2025,P003,899,CUST041
PRD1016,06-08-2025,P026,604,CUST049
PRD1017,06-08-2025,P013,241,CUST048
PRD1018,06-08-2025,P009,127,CUST006
PRD1019,06-08-2025,P023,904,CUST057
PRD1020,06-08-2025,P039,113,CUST008
PRD1021,07-08-2025,P004,923,CUST094
PRD1022,07-08-2025,P017,231,CUST098
PRD1023,07-08-2025,P018,736,CUST027
PRD1024,07-08-2025,P024,167,CUST020
PRD1025,07-08-2025,P035,579,CUST077
PRD1026,07-08-2025,P025,343,CUST004
PRD1027,08-08-2025,P019,655,CUST093
PRD1028,08-08-2025,P005,664,CUST087
PRD1029,08-08-2025,P021,248,CUST029
PRD1030,08-08-2025,P005,329,CUST026
PRD1031,08-08-2025,P011,445,CUST088
PRD1032,08-08-2025,P034,929,CUST081
PRD1033,09-08-2025,P025,397,CUST057
PRD1034,09-08-2025,P033,709,CUST077
PRD1035,09-08-2025,P034,200,CUST059
PRD1036,09-08-2025,P037,882,CUST043
PRD1037,10-08-2025,P037,101,CUST017
PRD1038,10-08-2025,P017,961,CUST030
PRD1039,10-08-2025,P038,918,CUST062
PRD1040,10-08-2025,P027,404,CUST097
PRD1041,10-08-2025,P017,565,CUST072
PRD1042,10-08-2025,P018,975,CUST008
PRD1043,11-08-2025,P009,364,CUST020
PRD1044,11-08-2025,P020,974,CUST025
PRD1045,11-08-2025,P031,899,CUST081
PRD1046,12-08-2025,P029,102,CUST067
PRD1047,12-08-2025,P008,918,CUST075
PRD1048,12-08-2025,P029,980,CUST005
PRD1049,13-08-2025,P037,683,CUST053
PRD1050,13-08-2025,P029,158,CUST021
PRD1051,14-08-2025,P006,964,CUST036
PRD1052,14-08-2025,P015,667,CUST078
PRD1053,14-08-2025,P035,904,CUST037
PRD1054,14-08-2025,P024,699,CUST005
PRD1055,14-08-2025,P011,630,CUST056
PRD1056,14-08-2025,P016,793,CUST046
PRD1057,15-08-2025,P024,825,CUST062
PRD1058,15-08-2025,P010,998,CUST020
PRD1059,16-08-2025,P011,559,CUST037
PRD1060,16-08-2025,P009,920,CUST051
PRD1061,16-08-2025,P027,177,CUST005
PRD1062,17-08-2025,P037,113,CUST016
PRD1063,17-08-2025,P037,189,CUST005
PRD1064,17-08-2025,P040,202,CUST031
PRD1065,17-08-2025,P010,518,CUST040
PRD1066,18-08-2025,P021,674,CUST050
PRD1067,18-08-2025,P036,524,CUST074
PRD1068,18-08-2025,P012,217,CUST027
PRD1069,18-08-2025,P036,235,CUST031
PRD1070,18-08-2025,P030,540,CUST079
PRD1071,19-08-2025,P016,293,CUST038
PRD1072,19-08-2025,P022,670,CUST028
PRD1073,19-08-2025,P015,807,CUST093
PRD1074,19-08-2025,P031,633,CUST026
PRD1075,19-08-2025,P024,102,CUST004
PRD1076,20-08-2025,P017,455,CUST061
PRD1077,20-08-2025,P033,309,CUST074
PRD1078,20-08-2025,P017,738,CUST063
PRD1079,20-08-2025,P020,696,CUST015
PRD1080,20-08-2025,P036,222,CUST069
PRD1081,20-08-2025,P021,885,CUST044
PRD1082,20-08-2025,P006,279,CUST086
PRD1083,21-08-2025,P013,515,CUST063
PRD1084,21-08-2025,P026,698,CUST044
PRD1085,22-08-2025,P024,440,CUST035
PRD1086,22-08-2025,P031,157,CUST081
PRD1087,22-08-2025,P017,159,CUST003
PRD1088,22-08-2025,P012,698,CUST099
PRD1089,23-08-2025,P038,151,CUST018
PRD1090,23-08-2025,P014,622,CUST034
PRD1091,23-08-2025,P025,732,CUST029
PRD1092,24-08-2025,P012,418,CUST012
PRD1093,24-08-2025,P024,900,CUST002
PRD1094,24-08-2025,P003,518,CUST062
PRD1095,25-08-2025,P029,114,CUST094
PRD1096,25-08-2025,P009,155,CUST047
PRD1097,25-08-2025,P038,931,CUST044
PRD1098,25-08-2025,P016,775,CUST051
PRD1099,25-08-2025,P026,808,CUST098
PRD1100,25-08-2025,P034,614,CUST020
PRD1101,25-08-2025,P011,441,CUST098
PRD1102,26-08-2025,P021,798,CUST012
PRD1103,26-08-2025,P030,379,CUST053
PRD1104,26-08-2025,P040,128,CUST057
PRD1105,27-08-2025,P039,314,CUST073
PRD1106,27-08-2025,P039,667,CUST099
PRD1107,27-08-2025,P013,492,CUST094
PRD1108,27-08-2025,P026,449,CUST069
PRD1109,28-08-2025,P038,944,CUST047
PRD1110,28-08-2025,P037,444,CUST014
PRD1111,29-08-2025,P024,855,CUST001
PRD1112,29-08-2025,P034,547,CUST035
PRD1113,29-08-2025,P012,802,CUST069
PRD1114,29-08-2025,P002,100,CUST034
PRD1115,30-08-2025,P024,213,CUST098
PRD1116,30-08-2025,P002,194,CUST040
PRD1117,31-08-2025,P021,195,CUST071
PRD1118,01-09-2025,P020,946,CUST026
