PurchaseID,ProductID,OrderDate,QuantityOrdered,LeadTimeDays
PO001,P001,05-01-2026,250,7
PO002,P002,08-01-2026,180,5
PO003,P003,10-01-2026,300,6
PO004,P004,12-01-2026,220,7
PO005,P005,15-01-2026,275,6
PO006,P006,18-01-2026,190,5
PO007,P007,20-01-2026,350,8
PO008,P008,22-01-2026,240,6
PO009,P009,25-01-2026,280,7
PO010,P010,28-01-2026,200,5
PO011,P011,02-02-2026,260,6
PO012,P012,05-02-2026,320,8
PO013,P013,08-02-2026,300,7
PO014,P014,10-02-2026,180,6
PO015,P015,13-02-2026,160,9
PO016,P016,16-02-2026,175,8
PO017,P017,18-02-2026,250,7
PO018,P018,20-02-2026,220,5
PO019,P019,23-02-2026,280,6
PO020,P020,26-02-2026,240,6
PO021,P021,02-03-2026,190,7
PO022,P022,05-03-2026,200,5
PO023,P023,08-03-2026,160,8
PO024,P024,10-03-2026,170,7
PO025,P025,13-03-2026,220,6
PO026,P026,16-03-2026,180,7
PO027,P027,18-03-2026,250,5
PO028,P028,20-03-2026,170,8
PO029,P029,23-03-2026,200,5
PO030,P030,26-03-2026,210,5
PO031,P031,28-03-2026,190,7
PO032,P032,02-04-2026,180,8
PO033,P033,05-04-2026,160,7
PO034,P034,08-04-2026,150,7
PO035,P035,10-04-2026,140,8
PO036,P036,13-04-2026,145,7
PO037,P037,16-04-2026,350,6
PO038,P038,18-04-2026,320,6
PO039,P039,21-04-2026,280,7
PO040,P040,25-04-2026,300,5
